DIRECTORIO,SECUENCIA_P,ORDEN,P6040,CLASE,DPTO,INGLABO
7742093,1,1,52,1,5,900000
7742094,1,1,37,1,5,1000000
7742094,1,2,11,1,5,NA
7742095,1,1,49,1,5,1350000
7742095,1,2,25,1,5,2300000
7742096,1,1,38,1,5,1300000
7742096,1,2,34,1,5,NA
7742096,1,3,15,1,5,NA
7742096,1,4,4,1,5,NA
7742097,1,1,32,1,5,1300000
7742098,1,1,28,1,5,1600000
7742098,1,2,27,1,5,2800000
7742099,1,1,63,1,5,1000000
7742100,1,1,41,1,5,1500000
7742101,1,1,49,1,5,3200000
7742101,1,2,28,1,5,2400000
7742101,1,3,25,1,5,1650000
7742101,1,4,23,1,5,1400000
7742102,1,1,84,1,5,NA
7742102,1,2,76,1,5,NA
7742103,1,1,85,1,5,NA
7742103,1,2,82,1,5,NA
7742104,1,1,70,1,5,2800000
7742104,1,2,19,1,5,1650000
7742105,1,1,41,1,5,2500000
7742105,1,2,41,1,5,550000
7742105,1,3,6,1,5,NA
7742106,1,1,40,1,5,4500000
7742106,1,2,68,1,5,NA
7742107,1,1,34,1,5,1450000
7742107,1,2,37,1,5,2000000
7742108,1,1,56,1,5,2300000
7742109,1,1,34,1,5,4000000
7742110,1,1,66,1,5,NA
7742110,1,2,57,1,5,NA
7742111,1,1,25,1,5,3500000
7742111,1,2,28,1,5,3365000
7742111,1,3,26,1,5,NA
7742112,1,1,81,1,5,NA
7742113,1,1,54,1,5,1500000
7742114,1,1,27,1,5,1300000
7742114,1,2,29,1,5,1300000
7742115,1,1,23,1,5,5000000
7742115,1,2,31,1,5,4000000
7742116,1,1,30,1,5,2000000
7742116,1,2,19,1,5,1300000
7742117,1,1,40,1,5,5320968
7742117,1,2,42,1,5,1901000
7742118,1,1,40,1,5,1500000
7742118,1,2,13,1,5,NA
7742119,1,1,75,1,5,150000
7742120,1,1,57,1,5,1200000
7742121,1,1,30,1,5,2700000
7742122,1,1,27,1,5,5100000
7742122,1,2,27,1,5,1000000
7742123,1,1,75,1,5,NA
7742123,1,2,82,1,5,NA
7742123,1,3,70,1,5,NA
7742124,1,1,38,1,5,4400000
7742124,1,2,20,1,5,NA
7742125,1,1,50,1,5,2700000
7742125,1,2,45,1,5,NA
7742125,1,3,10,1,5,NA
7742125,1,4,9,1,5,NA
7742126,1,1,36,1,5,1750000
7742126,1,2,16,1,5,NA
7742126,1,3,15,1,5,NA
7742126,1,4,32,1,5,1300000
7742127,1,1,44,1,5,7000000
7742127,1,2,17,1,5,NA
7742128,1,1,62,1,5,1000000
7742128,1,2,31,1,5,1600000
7742129,1,1,64,1,5,NA
7742129,1,2,38,1,5,1600000
7742130,1,1,51,1,5,300000
7742130,1,2,70,1,5,NA
7742131,1,1,50,1,5,700000
7742131,1,2,48,1,5,2200000
7742131,1,3,18,1,5,NA
7742132,1,1,66,1,5,NA
7742132,1,2,78,1,5,NA
7742132,1,3,42,1,5,NA
7742133,1,1,38,1,5,3400000
7742133,1,2,35,1,5,NA
7742133,1,3,17,1,5,NA
7742133,1,4,8,1,5,NA
7742134,1,1,45,1,5,2930000
7742134,1,2,40,1,5,1300000
7742135,1,1,72,1,5,NA
7742135,1,2,56,1,5,1300000
7742136,1,1,39,1,5,3000000
7742136,1,2,26,1,5,1300000
7742136,1,3,9,1,5,NA
7742137,1,1,77,1,5,NA
7742137,1,2,70,1,5,NA
7742138,1,1,43,1,5,1300000
7742138,1,2,17,1,5,NA
7742138,1,3,14,1,5,NA
7742139,1,1,42,1,5,1800000
7742139,1,2,27,1,5,500000
7742139,1,3,17,1,5,NA
7742140,1,1,62,1,5,NA
7742140,1,2,28,1,5,500000
7742141,1,1,64,1,5,NA
7742142,1,1,27,1,5,NA
7742142,1,2,23,1,5,NA
7742142,1,3,42,1,5,1950000
7742143,1,1,63,1,5,1400000
7742144,1,1,53,1,5,4000000
7742144,1,2,52,1,5,NA
7742144,1,3,32,1,5,2000000
7742145,1,1,36,1,5,4800000
7742145,1,2,32,1,5,1500000
7742145,1,3,1,1,5,NA
7742146,1,1,42,1,5,20000000
7742146,1,2,41,1,5,10000000
7742147,1,1,50,1,5,4600000
7742148,1,1,40,1,5,1700000
7742148,1,2,38,1,5,4000000
7742149,1,1,45,1,5,10000000
7742150,1,1,58,1,5,50000000
7742151,1,1,23,1,5,2000000
7742151,1,2,28,1,5,NA
7742151,1,3,4,1,5,NA
7742152,1,1,69,1,5,800000
7742152,1,2,34,1,5,NA
7742152,1,3,25,1,5,1300000
7742153,1,1,68,1,5,NA
7742153,1,2,26,1,5,NA
7742154,1,1,35,1,5,4000000
7742154,1,2,33,1,5,2600000
7742154,1,3,11,1,5,NA
7742155,1,1,46,1,5,5000000
7742155,1,2,42,1,5,5500000
7742155,1,3,10,1,5,NA
7742156,1,1,38,1,5,NA
7742156,1,2,19,1,5,NA
7742156,1,3,14,1,5,NA
7742156,1,4,7,1,5,NA
7742156,1,5,6,1,5,NA
7742157,1,1,28,1,5,4500000
7742158,1,1,43,1,5,2500000
7742158,1,2,14,1,5,NA
7742159,1,1,30,1,5,2600000
7742160,1,1,70,1,5,2000000
7742160,1,2,58,1,5,3500000
7742161,1,1,41,1,5,400000
7742161,1,2,18,1,5,NA
7742162,1,1,59,1,5,900000
7742163,1,1,49,1,5,800000
7742163,1,2,16,1,5,NA
7742163,1,3,13,1,5,NA
7742164,1,1,59,1,5,1000000
7742166,1,1,70,1,5,NA
7742166,1,2,34,1,5,600000
7742167,1,1,62,1,5,1500000
7742167,1,2,13,1,5,NA
7742168,1,1,67,1,5,NA
7742168,1,2,61,1,5,NA
7742169,1,1,39,1,5,2200000
7742169,1,2,27,1,5,150000
7742169,1,3,11,1,5,NA
7742169,1,4,7,1,5,NA
7742170,1,1,72,1,5,300000
7742171,1,1,48,1,5,1740000
7742171,1,2,46,1,5,2600000
7742171,1,3,21,1,5,NA
7742171,1,4,16,1,5,NA
7742172,1,1,50,1,5,3878000
7742172,1,2,45,1,5,NA
7742172,1,3,8,1,5,NA
7742172,1,4,75,1,5,NA
7742173,1,1,55,1,5,2600000
7742173,1,2,44,1,5,NA
7742173,1,3,21,1,5,NA
7742174,1,1,41,1,5,4000000
7742174,1,2,46,1,5,4000000
7742174,1,3,16,1,5,NA
7742174,1,4,13,1,5,NA
7742175,1,1,48,1,5,5000000
7742175,1,2,46,1,5,4000000
7742175,1,3,20,1,5,2250000
7742175,1,4,15,1,5,NA
7742176,1,1,77,1,5,NA
7742176,1,2,46,1,5,1462000
7742177,1,1,30,1,5,1000000
7742177,1,2,12,1,5,NA
7742177,1,3,4,1,5,NA
7742179,1,1,81,1,5,NA
7742179,1,2,44,1,5,NA
7742179,1,3,9,1,5,NA
7742180,1,1,46,1,5,800000
7742181,1,1,44,1,5,1300000
7742181,1,2,40,1,5,NA
7742181,1,3,17,1,5,NA
7742182,1,1,35,1,5,1220000
7742182,1,2,34,1,5,1300000
7742182,1,3,14,1,5,NA
7742183,1,1,43,1,5,1000000
7742183,1,2,17,1,5,NA
7742183,1,3,6,1,5,NA
7742184,1,1,47,1,5,400000
7742185,1,1,67,1,5,NA
7742185,1,2,88,1,5,NA
7742186,1,1,53,1,5,2000000
7742187,1,1,25,1,5,4000000
7742187,1,2,17,1,5,NA
7742187,1,3,29,1,5,1462000
7742188,1,1,44,1,5,2200000
7742188,1,2,21,1,5,NA
7742188,1,3,71,1,5,NA
7742189,1,1,79,1,5,NA
7742190,1,1,33,1,5,4500000
7742191,1,1,77,1,5,NA
7742191,1,2,56,1,5,1000000
7742191,1,3,41,1,5,1300000
7742192,1,1,42,1,5,2900000
7742193,1,1,54,1,5,3200000
7742193,1,2,28,1,5,3300000
7742193,1,3,21,1,5,NA
7742194,1,1,75,1,5,NA
7742195,1,1,66,1,5,NA
7742195,1,2,74,1,5,NA
7742195,1,3,46,1,5,1300000
7742196,1,1,53,1,5,2000000
7742196,1,2,51,1,5,1776000
7742196,1,3,28,1,5,2000000
7742196,1,4,12,1,5,NA
7742196,1,5,4,1,5,NA
7742197,1,1,76,1,5,NA
7742198,1,1,54,1,5,1300000
7742198,1,2,54,1,5,NA
7742199,1,1,31,1,5,600000
7742199,1,2,36,1,5,600000
7742199,1,3,14,1,5,NA
7742200,1,1,66,1,5,NA
7742200,1,2,64,1,5,NA
7742201,1,1,53,1,5,1300000
7742202,1,1,80,1,5,NA
7742202,1,2,48,1,5,NA
7742202,1,3,52,1,5,NA
7742202,1,4,31,1,5,NA
7742203,1,1,35,1,5,2070000
7742203,1,2,34,1,5,1300000
7742203,1,3,5,1,5,NA
7742204,1,1,42,1,5,1500000
7742204,1,2,19,1,5,NA
7742205,1,1,66,1,5,NA
7742205,1,2,62,1,5,NA
7742205,1,3,37,1,5,NA
7742205,1,4,16,1,5,NA
7742206,1,1,58,1,5,700000
7742206,1,2,56,1,5,1000000
7742207,1,1,34,1,5,1200000
7742208,1,1,36,1,5,800000
7742208,1,2,26,1,5,2240000
7742208,1,3,17,1,5,250000
7742208,1,4,17,1,5,250000
7742208,1,5,19,1,5,1700000
7742208,1,6,20,1,5,NA
7742208,1,7,0,1,5,NA
7742209,1,1,60,1,5,200000
7742210,1,1,34,1,5,1300000
7742210,1,2,18,1,5,NA
7742210,1,3,13,1,5,NA
7742211,1,1,55,1,5,1300000
7742211,1,2,16,1,5,NA
7742212,1,1,31,1,5,4800000
7742212,2,1,21,1,5,NA
7742212,3,1,22,1,5,NA
7742213,1,1,52,1,5,1500000
7742213,1,2,27,1,5,8500000
7742213,1,3,26,1,5,3250000
7742213,1,4,23,1,5,2500000
7742215,1,1,59,1,5,1500000
7742216,1,1,33,1,5,7000000
7742216,1,2,28,1,5,2900000
7742217,1,1,67,1,5,1500000
7742217,1,2,55,1,5,NA
7742217,1,3,22,1,5,1500000
7742217,1,4,15,1,5,NA
7742218,1,1,65,1,5,NA
7742218,1,2,30,1,5,3000000
7742219,1,1,60,1,5,NA
7742220,1,1,41,1,5,NA
7742220,1,2,20,1,5,NA
7742221,1,1,63,1,5,5700000
7742221,1,2,61,1,5,NA
7742221,1,3,34,1,5,2100000
7742222,1,1,26,1,5,NA
7742223,1,1,63,1,5,NA
7742223,1,2,30,1,5,6000000
7742224,1,1,39,1,5,25000000
7742225,1,1,23,1,5,NA
7742226,1,1,32,1,5,13000000
7742226,1,2,35,1,5,7800000
7742227,1,1,29,1,5,5000000
7742228,1,1,33,1,5,9000000
7742228,1,2,38,1,5,8000000
7742228,1,3,0,1,5,NA
7742229,1,1,41,1,5,1400000
7742229,1,2,34,1,5,1300000
7742231,1,1,34,1,5,1000000
7742231,1,2,30,1,5,2000000
7742231,1,3,12,1,5,NA
7742232,1,1,80,1,5,NA
7742232,1,2,68,1,5,NA
7742233,1,1,57,1,5,1300000
7742233,1,2,33,1,5,1700000
7742233,1,3,33,1,5,2000000
7742234,1,1,39,1,5,3400000
7742234,1,2,36,1,5,NA
7742235,1,1,27,1,5,NA
7742235,1,2,20,1,5,NA
7742236,1,1,70,1,5,NA
7742236,1,2,60,1,5,NA
7742236,1,3,39,1,5,1462000
7742236,1,4,34,1,5,1500000
7742237,1,1,30,1,5,3000000
7742237,1,2,31,1,5,NA
7742238,1,1,29,1,5,3200000
7742239,1,1,71,1,5,NA
7742239,1,2,50,1,5,1462000
7742239,1,3,10,1,5,NA
7742239,1,4,49,1,5,1462000
7742239,1,5,46,1,5,3570000
7742239,1,6,30,1,5,38000000
7742240,1,1,46,1,5,NA
7742241,1,1,46,1,5,1300000
7742241,1,2,28,1,5,1300000
7742242,1,1,73,1,5,NA
7742242,1,2,52,1,5,50000
7742242,1,3,10,1,5,NA
7742243,1,1,58,1,5,1300000
7742245,1,1,23,1,5,2400000
7742246,1,1,67,1,5,500000
7742247,1,1,56,1,5,NA
7742248,1,1,55,1,5,1200000
7742248,1,2,46,1,5,700000
7742248,1,3,19,1,5,NA
7742248,1,4,14,1,5,NA
7742249,1,1,29,1,5,1300000
7742249,1,2,31,1,5,NA
7742249,1,3,2,1,5,NA
7742250,1,1,42,1,5,1300000
7742250,1,2,37,1,5,920000
7742250,1,3,19,1,5,1300000
7742250,1,4,17,1,5,NA
7742251,1,1,32,1,5,1400000
7742251,1,2,33,1,5,2000000
7742252,1,1,51,1,8,360000
7742252,1,2,20,1,8,40000
7742252,1,3,26,1,8,NA
7742252,1,4,7,1,8,NA
7742253,1,1,48,1,8,1500000
7742253,1,2,45,1,8,2300000
7742253,1,3,11,1,8,NA
7742254,1,1,58,1,8,NA
7742254,1,2,23,1,8,NA
7742255,1,1,64,1,8,2500000
7742256,1,1,72,1,8,NA
7742257,1,1,45,1,8,2500000
7742257,1,2,41,1,8,NA
7742257,1,3,9,1,8,NA
7742257,1,4,7,1,8,NA
7742257,1,5,64,1,8,NA
7742257,1,6,71,1,8,NA
7742258,1,1,83,1,8,NA
7742258,1,2,86,1,8,NA
7742258,1,3,61,1,8,NA
7742259,1,1,47,1,8,NA
7742259,1,2,45,1,8,NA
7742259,1,3,9,1,8,NA
7742260,1,1,32,1,8,NA
7742260,1,2,12,1,8,NA
7742261,1,1,40,1,8,2000000
7742261,1,2,39,1,8,1500000
7742261,1,3,8,1,8,NA
7742262,1,1,42,1,8,5200000
7742262,1,2,30,1,8,1000000
7742262,1,3,4,1,8,NA
7742262,1,4,2,1,8,NA
7742263,1,1,35,1,8,3650000
7742263,1,2,32,1,8,700000
7742263,1,3,1,1,8,NA
7742264,1,1,57,1,8,NA
7742264,1,2,60,1,8,NA
7742265,1,1,27,1,8,3000000
7742265,1,2,27,1,8,2000000
7742266,1,1,22,1,8,NA
7742267,1,1,32,1,8,3000000
7742267,1,2,29,1,8,NA
7742268,1,1,32,1,8,750000
7742268,1,2,38,1,8,1200000
7742268,1,3,16,1,8,NA
7742268,1,4,11,1,8,NA
7742269,1,1,84,1,8,NA
7742269,1,2,66,1,8,NA
7742269,1,3,28,1,8,NA
7742270,1,1,38,1,8,80000
7742270,1,2,15,1,8,NA
7742270,1,3,6,1,8,NA
7742270,1,4,22,1,8,NA
7742270,1,5,4,1,8,NA
7742270,1,6,18,1,8,NA
7742270,1,7,1,1,8,NA
7742270,1,8,20,1,8,1420000
7742271,1,1,34,1,8,700000
7742271,1,2,39,1,8,700000
7742271,1,3,13,1,8,NA
7742271,1,4,11,1,8,NA
7742272,1,1,39,1,8,1050000
7742272,1,2,18,1,8,900000
7742272,1,3,16,1,8,NA
7742272,1,4,11,1,8,NA
7742272,1,5,6,1,8,NA
7742272,1,6,2,1,8,NA
7742272,1,7,2,1,8,NA
7742272,1,8,18,1,8,NA
7742272,1,9,14,1,8,NA
7742273,1,1,53,1,8,200000
7742273,1,2,17,1,8,NA
7742274,1,1,41,1,8,700000
7742274,1,2,19,1,8,70000
7742274,1,3,3,1,8,NA
7742275,1,1,85,1,8,NA
7742275,1,2,66,1,8,NA
7742276,1,1,81,1,8,NA
7742276,1,2,69,1,8,NA
7742277,1,1,39,1,8,600000
7742277,1,2,13,1,8,NA
7742277,1,3,9,1,8,NA
7742277,1,4,9,1,8,NA
7742278,1,1,24,1,8,1300000
7742278,1,2,33,1,8,900000
7742279,1,1,66,1,8,NA
7742279,1,2,54,1,8,NA
7742279,1,3,18,1,8,NA
7742280,1,1,36,1,8,1300000
7742280,1,2,36,1,8,1500000
7742280,1,3,10,1,8,NA
7742280,1,4,2,1,8,NA
7742281,1,1,32,1,8,1300000
7742281,1,2,32,1,8,1000000
7742281,1,3,3,1,8,NA
7742282,1,1,55,1,8,NA
7742283,1,1,58,1,8,1300000
7742284,1,1,21,1,8,360000
7742284,1,2,19,1,8,NA
7742284,1,3,11,1,8,NA
7742285,1,1,42,1,8,1300000
7742285,1,2,36,1,8,900000
7742285,1,3,20,1,8,NA
7742285,1,4,10,1,8,NA
7742286,1,1,36,1,8,1450000
7742286,1,2,20,1,8,NA
7742286,1,3,15,1,8,NA
7742287,1,1,75,1,8,NA
7742288,1,1,46,1,8,1460000
7742288,1,2,35,1,8,30000
7742288,1,3,10,1,8,NA
7742288,1,4,4,1,8,NA
7742289,1,1,71,1,11,NA
7742290,1,1,63,1,11,NA
7742290,1,2,55,1,11,1300000
7742290,1,3,27,1,11,2700000
7742291,1,1,53,1,11,2000000
7742291,1,2,48,1,11,NA
7742291,1,3,26,1,11,290000
7742291,1,4,23,1,11,NA
7742292,1,1,77,1,11,NA
7742293,1,1,66,1,11,NA
7742294,1,1,50,1,11,1300000
7742294,1,2,25,1,11,1150000
7742294,1,3,18,1,11,NA
7742295,1,1,73,1,11,NA
7742296,1,1,23,1,11,7000000
7742296,1,2,18,1,11,NA
7742297,1,1,68,1,11,500000
7742299,1,1,47,1,11,1200000
7742300,1,1,67,1,11,NA
7742300,1,2,58,1,11,NA
7742301,1,1,33,1,11,300000
7742302,1,1,45,1,11,700000
7742303,1,1,64,1,11,400000
7742304,1,1,44,1,11,360000
7742305,1,1,35,1,11,2500000
7742305,1,2,32,1,11,500000
7742305,1,3,3,1,11,NA
7742306,1,1,31,1,11,3500000
7742306,1,2,35,1,11,1500000
7742306,1,3,3,1,11,NA
7742307,1,1,55,1,11,1300000
7742307,1,2,20,1,11,1500000
7742308,1,1,56,1,11,NA
7742308,1,2,53,1,11,NA
7742309,1,1,26,1,11,2000000
7742309,1,2,27,1,11,2000000
7742310,1,1,44,1,11,1300000
7742310,1,2,18,1,11,200000
7742311,1,1,87,1,11,NA
7742312,1,1,37,1,11,NA
7742312,1,2,15,1,11,NA
7742312,1,3,7,1,11,NA
7742313,1,1,33,1,11,1800000
7742313,1,2,62,1,11,320000
7742313,1,3,22,1,11,NA
7742314,1,1,65,1,11,600000
7742314,1,2,67,1,11,NA
7742315,1,1,79,1,11,NA
7742316,1,1,32,1,11,6428965
7742316,1,2,7,1,11,NA
7742317,1,1,51,1,11,1500000
7742317,1,2,49,1,11,NA
7742317,1,3,12,1,11,NA
7742318,1,1,33,1,11,700000
7742319,1,1,86,1,11,NA
7742320,1,1,36,1,11,1600000
7742320,1,2,13,1,11,NA
7742320,1,3,8,1,11,NA
7742320,1,4,62,1,11,1350000
7742321,1,1,26,1,11,1600000
7742321,1,2,27,1,11,NA
7742321,1,3,0,1,11,NA
7742322,1,1,50,1,11,2461000
7742323,1,1,28,1,11,2500000
7742324,1,1,31,1,11,8000000
7742325,1,1,71,1,11,NA
7742326,1,1,33,1,11,2000000
7742326,1,2,37,1,11,NA
7742326,1,3,2,1,11,NA
7742327,1,1,39,1,11,3000000
7742328,1,1,70,1,11,NA
7742329,1,1,49,1,11,2800000
7742329,1,2,25,1,11,NA
7742330,1,1,58,1,11,500000
7742330,1,2,31,1,11,3000000
7742332,1,1,46,1,11,1300000
7742333,1,1,83,1,11,NA
7742334,1,1,59,1,11,1500000
7742334,1,2,37,1,11,800000
7742334,1,3,18,1,11,NA
7742335,1,1,39,1,11,2000000
7742335,1,2,23,1,11,1500000
7742335,1,3,13,1,11,NA
7742336,1,1,32,1,11,1000000
7742336,1,2,3,1,11,NA
7742336,1,3,63,1,11,NA
7742337,1,1,25,1,11,1500000
7742337,1,2,24,1,11,NA
7742337,1,3,0,1,11,NA
7742338,1,1,56,1,13,1200000
7742339,1,1,58,1,13,NA
7742339,1,2,25,1,13,NA
7742339,1,3,29,1,13,1300000
7742339,1,4,10,1,13,NA
7742339,1,5,3,1,13,NA
7742340,1,1,50,1,13,NA
7742340,1,2,55,1,13,5500000
7742341,1,1,43,1,13,3000000
7742341,1,2,52,1,13,NA
7742341,1,3,9,1,13,NA
7742342,1,1,48,1,13,260000
7742343,1,1,57,1,13,NA
7742343,1,2,58,1,13,NA
7742343,1,3,31,1,13,1300000
7742343,1,4,34,1,13,1300000
7742343,1,5,2,1,13,NA
7742343,1,6,16,1,13,NA
7742344,1,1,47,1,13,600000
7742344,1,2,55,1,13,NA
7742344,1,3,30,1,13,1400000
7742344,1,4,7,1,13,NA
7742344,1,5,31,1,13,1400000
7742344,1,6,9,1,13,NA
7742345,1,1,46,1,13,NA
7742345,1,2,18,1,13,NA
7742345,1,3,9,1,13,NA
7742346,1,1,58,1,13,1500000
7742346,1,2,56,1,13,NA
7742346,1,3,35,1,13,NA
7742346,1,4,81,1,13,NA
7742346,1,5,54,1,13,NA
7742347,1,1,39,1,13,1600000
7742347,1,2,38,1,13,800000
7742348,1,1,61,1,13,NA
7742348,1,2,57,1,13,1500000
7742348,1,3,19,1,13,NA
7742349,1,1,79,1,13,NA
7742349,1,2,60,1,13,300000
7742350,1,1,89,1,13,NA
7742350,1,2,34,1,13,800000
7742351,1,1,37,1,13,600000
7742352,1,1,64,1,13,400000
7742352,1,2,73,1,13,350000
7742352,1,3,37,1,13,NA
7742352,1,4,43,1,13,700000
7742352,1,5,6,1,13,NA
7742353,1,1,29,1,13,1000000
7742353,1,2,35,1,13,NA
7742353,1,3,0,1,13,NA
7742354,1,1,29,1,13,800000
7742354,1,2,29,1,13,NA
7742354,1,3,0,1,13,NA
7742355,1,1,51,1,13,480000
7742355,1,2,25,1,13,800000
7742355,1,3,21,1,13,NA
7742356,1,1,23,1,13,NA
7742356,1,2,27,1,13,1300000
7742356,1,3,7,1,13,NA
7742357,1,1,77,1,13,60000
7742358,1,1,60,1,13,NA
7742358,1,2,25,1,13,NA
7742358,1,3,34,1,13,NA
7742358,1,4,0,1,13,NA
7742358,1,5,13,1,13,NA
7742359,1,1,42,1,13,NA
7742359,1,2,64,1,13,1300000
7742359,1,3,14,1,13,NA
7742360,1,1,59,1,13,3000000
7742360,1,2,48,1,13,2800000
7742360,1,3,21,1,13,NA
7742360,1,4,19,1,13,NA
7742361,1,1,59,1,13,NA
7742362,1,1,69,1,13,NA
7742363,1,1,45,1,13,1300000
7742363,1,2,43,1,13,1300000
7742363,1,3,18,1,13,NA
7742363,1,4,14,1,13,NA
7742364,1,1,75,1,13,NA
7742365,1,1,51,1,13,900000
7742365,1,2,55,1,13,160000
7742365,1,3,28,1,13,1300000
7742365,1,4,13,1,13,NA
7742365,1,5,90,1,13,NA
7742366,1,1,29,1,13,NA
7742366,1,2,30,1,13,2200000
7742367,1,1,69,1,13,NA
7742367,1,2,58,1,13,NA
7742367,1,3,43,1,13,NA
7742368,1,1,38,1,13,10000
7742368,1,2,10,1,13,NA
7742368,1,3,1,1,13,NA
7742369,1,1,37,1,13,200000
7742369,1,2,19,1,13,NA
7742369,1,3,15,1,13,NA
7742369,1,4,14,1,13,NA
7742369,1,5,5,1,13,NA
7742370,1,1,61,1,13,700000
7742370,1,2,25,1,13,2600000
7742370,1,3,24,1,13,NA
7742371,1,1,61,1,13,NA
7742371,1,2,60,1,13,NA
7742371,1,3,32,1,13,1500000
7742372,1,1,34,1,13,NA
7742372,1,2,15,1,13,NA
7742372,1,3,9,1,13,NA
7742372,1,4,2,1,13,NA
7742373,1,1,60,1,13,NA
7742373,1,2,21,1,13,1500000
7742373,1,3,27,1,13,1500000
7742373,1,4,31,1,13,NA
7742373,1,5,11,1,13,NA
7742374,1,1,76,1,13,NA
7742374,1,2,45,1,13,1800000
7742374,1,3,38,1,13,2500000
7742375,1,1,25,1,13,960000
7742375,1,2,21,1,13,NA
7742375,1,3,2,1,13,NA
7742376,1,1,36,1,13,2600000
7742376,1,2,38,1,13,2600000
7742376,1,3,7,1,13,NA
7742376,1,4,2,1,13,NA
7742377,1,1,39,1,13,1800000
7742377,1,2,20,1,13,1300000
7742377,1,3,15,1,13,NA
7742378,1,1,22,1,13,1200000
7742378,1,2,23,1,13,1300000
7742378,1,3,22,1,13,1300000
7742379,1,1,45,1,13,500000
7742380,1,1,55,1,13,NA
7742380,1,2,25,1,13,1400000
7742381,1,1,59,1,13,720000
7742381,1,2,33,1,13,800000
7742382,1,1,54,1,13,1400000
7742382,1,2,55,1,13,600000
7742382,1,3,19,1,13,NA
7742382,1,4,29,1,13,NA
7742382,1,5,2,1,13,NA
7742383,1,1,28,1,13,1960000
7742383,1,2,28,1,13,1300000
7742383,1,3,7,1,13,NA
7742384,1,1,63,1,13,NA
7742384,1,2,42,1,13,NA
7742384,1,3,48,1,13,750000
7742384,1,4,20,1,13,NA
7742385,1,1,21,1,13,1200000
7742385,1,2,25,1,13,1300000
7742386,1,1,42,1,13,NA
7742386,1,2,35,1,13,NA
7742386,1,3,15,1,13,NA
7742386,1,4,13,1,13,NA
7742387,1,1,70,1,13,NA
7742387,1,2,33,1,13,1300000
7742387,1,3,53,1,13,720000
7742387,1,4,7,1,13,NA
7742388,1,1,29,1,13,1000000
7742388,1,2,26,1,13,NA
7742389,1,1,36,1,13,900000
7742389,1,2,36,1,13,NA
7742389,1,3,17,1,13,NA
7742389,1,4,19,1,13,NA
7742389,1,5,28,1,13,720000
7742390,1,1,58,1,13,NA
7742391,1,1,44,1,13,1300000
7742391,1,2,17,1,13,NA
7742391,1,3,16,1,13,NA
7742391,1,4,11,1,13,NA
7742391,1,5,73,1,13,NA
7742391,1,6,68,1,13,NA
7742393,1,1,45,1,13,11500000
7742394,1,1,70,1,13,1200000
7742394,1,2,64,1,13,250000
7742394,1,3,41,1,13,NA
7742394,2,1,43,1,13,1300000
7742394,2,2,30,1,13,NA
7742394,2,3,12,1,13,NA
7742394,2,4,9,1,13,NA
7742394,2,5,2,1,13,NA
7742394,3,1,39,1,13,1300000
7742394,3,2,35,1,13,1300000
7742394,3,3,2,1,13,NA
7742394,3,4,62,1,13,NA
7742395,1,1,59,1,13,NA
7742395,1,2,30,1,13,NA
7742396,1,1,60,1,13,480000
7742396,1,2,52,1,13,360000
7742396,1,3,50,1,13,1300000
7742396,1,4,50,1,13,420000
7742397,1,1,23,1,13,NA
7742397,1,2,27,1,13,1300000
7742397,1,3,3,1,13,NA
7742398,1,1,62,1,13,NA
7742398,1,2,29,1,13,1300000
7742398,1,3,28,1,13,NA
7742398,1,4,13,1,13,NA
7742398,1,5,9,1,13,NA
7742399,1,1,72,1,13,NA
7742399,1,2,68,1,13,NA
7742400,1,1,37,1,13,1300000
7742400,1,2,36,1,13,NA
7742400,1,3,9,1,13,NA
7742400,1,4,4,1,13,NA
7742400,1,5,64,1,13,NA
7742401,1,1,37,1,13,NA
7742402,1,1,24,1,13,NA
7742402,1,2,7,1,13,NA
7742402,1,3,6,1,13,NA
7742402,1,4,49,1,13,1700000
7742403,1,1,63,1,13,NA
7742403,1,2,57,1,13,NA
7742404,1,1,53,1,13,NA
7742404,1,2,48,1,13,NA
7742404,1,3,21,1,13,NA
7742404,1,4,0,1,13,NA
7742405,1,1,63,1,13,250000
7742405,1,2,33,1,13,300000
7742405,1,3,14,1,13,NA
7742405,1,4,11,1,13,NA
7742405,1,5,6,1,13,NA
7742405,1,6,16,1,13,NA
7742406,1,1,57,1,13,1300000
7742406,1,2,57,1,13,NA
7742406,1,3,34,1,13,1300000
7742406,1,4,10,1,13,NA
7742407,1,1,50,1,13,950000
7742407,1,2,44,1,13,NA
7742407,1,3,4,1,13,NA
7742408,1,1,29,1,13,600000
7742408,1,2,12,1,13,NA
7742408,1,3,10,1,13,NA
7742408,1,4,7,1,13,NA
7742409,1,1,25,1,13,1800000
7742409,1,2,24,1,13,NA
7742410,1,1,68,1,13,900000
7742410,1,2,76,1,13,NA
7742410,1,3,43,1,13,NA
7742411,1,1,35,1,13,750000
7742411,1,2,27,1,13,NA
7742411,1,3,7,1,13,NA
7742411,1,4,4,1,13,NA
7742412,1,1,33,1,13,NA
7742412,1,2,15,1,13,NA
7742412,1,3,13,1,13,NA
7742412,1,4,8,1,13,NA
7742413,1,1,47,1,13,NA
7742413,1,2,14,1,13,NA
7742414,1,1,51,1,13,NA
7742415,1,1,65,1,13,NA
7742415,1,2,37,1,13,NA
7742415,1,3,17,1,13,NA
7742415,1,4,13,1,13,NA
7742415,1,5,2,1,13,NA
7742416,1,1,48,1,13,1600000
